Year,State,Divorce_Rate
2008.0,AK         ,7.06991358995
2009.0,AK         ,6.96918073409
2010.0,AK         ,6.66859959409
2011.0,AK         ,7.50708215297
2012.0,AK         ,6.91045205874
2013.0,AK         ,5.33491404861
2014.0,AK         ,6.18830116399
2008.0,AL        ,9.73468219126
2009.0,AL        ,10.2858088951
2010.0,AL        ,10.0185216366
2011.0,AL        ,9.63379237942
2012.0,AL        ,9.18045128505
2013.0,AL        ,8.73818881177
2014.0,AL        ,7.90910802837
2008.0,AR       ,9.15839866787
2009.0,AR       ,9.16352570974
2010.0,AR       ,10.3693428126
2011.0,AR       ,8.63739925868
2012.0,AR       ,9.68382151656
2013.0,AR       ,8.92163157717
2014.0,AR       ,8.54642650414
2008.0,AZ        ,7.8321769227
2009.0,AZ        ,7.94637809901
2010.0,AZ        ,7.22243202417
2011.0,AZ        ,7.84078130536
2012.0,AZ        ,6.89968913489
2013.0,AZ        ,6.85384476643
2014.0,AZ        ,6.52794777642
2008.0,CA     ,6.91499037098
2009.0,CA     ,6.72759475735
2010.0,CA     ,6.2881752375
2011.0,CA     ,6.28509607954
2012.0,CA     ,5.91772246479
2013.0,CA     ,5.88309733632
2014.0,CA     ,5.38983715069
2008.0,CO       ,8.27750117811
2009.0,CO       ,7.50495610309
2010.0,CO       ,7.7215418954
2011.0,CO       ,7.79144121987
2012.0,CO       ,8.47589727602
2013.0,CO       ,8.00276354425
2014.0,CO       ,7.14164257779
2008.0,CT    ,6.46997929607
2009.0,CT    ,6.57745520526
2010.0,CT    ,6.84434014974
2011.0,CT    ,6.29481635558
2012.0,CT    ,6.32198125395
2013.0,CT    ,5.30482106536
2014.0,CT    ,5.39113519522
2008.0,DC      ,8.31676007955
2009.0,DC      ,5.55555555556
2010.0,DC      ,8.21636425882
2011.0,DC      ,7.02650910252
2012.0,DC      ,7.29811201015
2013.0,DC      ,7.60803408399
2014.0,DC      ,6.44468313641
2008.0,DE       ,8.22746521476
2009.0,DE       ,7.24035608309
2010.0,DE       ,7.92910447761
2011.0,DE       ,5.89281743384
2012.0,DE       ,7.03346568349
2013.0,DE       ,5.93133340938
2014.0,DE       ,6.32349678278
2008.0,FL        ,8.41526097038
2009.0,FL        ,7.26698092418
2010.0,FL        ,8.12675614951
2011.0,FL        ,7.82426778243
2012.0,FL        ,8.14522494081
2013.0,FL        ,7.64261859145
2014.0,FL        ,6.97554924665
2008.0,GA        ,8.44867877045
2009.0,GA        ,8.74213836478
2010.0,GA        ,8.4037135612
2011.0,GA        ,8.19932625691
2012.0,GA        ,8.10574884649
2013.0,GA        ,7.53872918565
2014.0,GA        ,7.54724720311
2008.0,HI         ,5.70602556299
2009.0,HI         ,5.99245394688
2010.0,HI         ,6.24311421227
2011.0,HI         ,4.55469133207
2012.0,HI         ,6.28797513071
2013.0,HI         ,5.17989640207
2014.0,HI         ,5.37634408602
2008.0,IA,6.51084054951
2009.0,IA,6.76466762066
2010.0,IA,7.48483675313
2011.0,IA,7.246146512
2012.0,IA,7.08881683515
2013.0,IA,6.1602288085
2014.0,IA,5.37414752192
2008.0,ID          ,7.60554302288
2009.0,ID          ,6.60107902253
2010.0,ID          ,8.67924528302
2011.0,ID          ,7.28678241034
2012.0,ID          ,9.02373634996
2013.0,ID          ,7.03154694033
2014.0,ID          ,8.13998205358
2008.0,IL       ,6.71310556161
2009.0,IL       ,6.53213209423
2010.0,IL       ,6.2179031366
2011.0,IL       ,6.40773336272
2012.0,IL       ,6.57977485693
2013.0,IL       ,5.34863746389
2014.0,IL       ,6.00078957758
2008.0,IN        ,8.67992216952
2009.0,IN        ,8.07896735004
2010.0,IN        ,8.73395726001
2011.0,IN        ,8.63311535602
2012.0,IN        ,9.07036311587
2013.0,IN        ,8.10692705273
2014.0,IN        ,8.02343926076
2008.0,KS         ,8.08998332328
2009.0,KS         ,7.66053588449
2010.0,KS         ,7.49422837862
2011.0,KS         ,8.10792161192
2012.0,KS         ,8.75115824153
2013.0,KS         ,8.03568388437
2014.0,KS         ,7.04812165822
2008.0,KY       ,9.85781550808
2009.0,KY       ,9.3005363083
2010.0,KY       ,9.73280690478
2011.0,KY       ,8.80241953686
2012.0,KY       ,9.35876768762
2013.0,KY       ,9.15616596662
2014.0,KY       ,8.46928768833
2008.0,LA      ,7.81763545873
2009.0,LA      ,7.64805414552
2010.0,LA      ,8.03887321421
2011.0,LA      ,8.01729573912
2012.0,LA      ,7.08393113343
2013.0,LA      ,7.12573105967
2014.0,LA      ,6.21754577753
2008.0,MA  ,6.37698125414
2009.0,MA  ,5.90539040336
2010.0,MA  ,5.77272727273
2011.0,MA  ,5.23120172731
2012.0,MA  ,5.91802440272
2013.0,MA  ,5.02000727537
2014.0,MA  ,5.04785247432
2008.0,MD       ,7.18746108274
2009.0,MD       ,6.94961528915
2010.0,MD       ,5.89244553821
2011.0,MD       ,7.16550955687
2012.0,MD       ,6.64190218601
2013.0,MD       ,6.08134433283
2014.0,MD       ,5.80881853387
2008.0,ME          ,8.99681528662
2009.0,ME          ,9.25408855205
2010.0,ME          ,8.17901234568
2011.0,ME          ,9.06745300405
2012.0,ME          ,8.1992104464
2013.0,ME          ,6.54752734556
2014.0,ME          ,7.09767011264
2008.0,MI       ,6.74711301414
2009.0,MI       ,7.08546530221
2010.0,MI       ,7.17367362816
2011.0,MI       ,7.71516341844
2012.0,MI       ,7.35391075903
2013.0,MI       ,6.45608954053
2014.0,MI       ,6.50845386026
2008.0,MN      ,6.15500802417
2009.0,MN      ,5.77719232217
2010.0,MN      ,5.23501266535
2011.0,MN      ,5.52748235037
2012.0,MN      ,5.6849541892
2013.0,MN      ,4.72830435731
2014.0,MN      ,5.15682266055
2008.0,MO       ,7.9814709901
2009.0,MO       ,7.72764207419
2010.0,MO       ,8.56883908709
2011.0,MO       ,8.14683625825
2012.0,MO       ,7.39791365856
2013.0,MO       ,7.40692717872
2014.0,MO       ,6.92250057009
2008.0,MS    ,9.08840539796
2009.0,MS    ,8.35693072726
2010.0,MS    ,8.12005344845
2011.0,MS    ,8.31805527263
2012.0,MS    ,8.81774401411
2013.0,MS    ,8.2973556395
2014.0,MS    ,7.00734917108
2008.0,MT        ,6.15181808195
2009.0,MT        ,5.13507479348
2010.0,MT        ,6.52262535671
2011.0,MT        ,8.32915203211
2012.0,MT        ,6.99231829821
2013.0,MT        ,6.32848808464
2014.0,MT        ,5.1629884592
2008.0,NC ,7.09510901846
2009.0,NC ,7.4566706973
2010.0,NC ,7.24372193319
2011.0,NC ,7.36272878536
2012.0,NC ,7.02114555533
2013.0,NC ,6.71051279416
2014.0,NC ,6.29663702341
2008.0,ND   ,5.55889423077
2009.0,ND   ,5.58987937629
2010.0,ND   ,5.53210074247
2011.0,ND   ,5.15242593388
2012.0,ND   ,5.75680988486
2013.0,ND   ,4.70746469401
2014.0,ND   ,4.85245901639
2008.0,NE       ,7.57617960002
2009.0,NE       ,7.23397205809
2010.0,NE       ,6.44050857809
2011.0,NE       ,7.26767487843
2012.0,NE       ,6.4078801038
2013.0,NE       ,5.84019113353
2014.0,NE       ,5.3698972942
2008.0,NH  ,6.60928373809
2009.0,NH  ,6.06712234083
2010.0,NH  ,8.46880907372
2011.0,NH  ,7.21436984688
2012.0,NH  ,6.23654317321
2013.0,NH  ,6.56972023326
2014.0,NH  ,6.92685833457
2008.0,NJ     ,5.7732861637
2009.0,NJ     ,4.78252813933
2010.0,NJ     ,5.2536604308
2011.0,NJ     ,5.33004402096
2012.0,NJ     ,5.48844925741
2013.0,NJ     ,5.02768048808
2014.0,NJ     ,4.62836918051
2008.0,NM     ,7.26470429963
2009.0,NM     ,8.07823129252
2010.0,NM     ,7.18413243792
2011.0,NM     ,7.33174900137
2012.0,NM     ,7.43513226443
2013.0,NM     ,7.05082682358
2014.0,NM     ,6.53425296894
2008.0,NV         ,9.05100415647
2009.0,NV         ,9.06483075158
2010.0,NV         ,10.182767624
2011.0,NV         ,8.0036763298
2012.0,NV         ,9.6909376637
2013.0,NV         ,8.52400179453
2014.0,NV         ,7.1982694316
2008.0,NY       ,5.59412857395
2009.0,NY       ,5.68955378853
2010.0,NY       ,5.29044879414
2011.0,NY       ,5.71576374167
2012.0,NY       ,5.90380716607
2013.0,NY       ,5.08245609563
2014.0,NY       ,5.1356253439
2008.0,OH,7.6152132945
2009.0,OH,7.3432947711
2010.0,OH,7.57608001702
2011.0,OH,6.83988752185
2012.0,OH,7.4029219367
2013.0,OH,6.76687277433
2014.0,OH,6.63159328498
2008.0,OK       ,10.370533381
2009.0,OK       ,9.74990547183
2010.0,OK       ,9.27494152754
2011.0,OK       ,9.80079681275
2012.0,OK       ,9.5428078499
2013.0,OK       ,8.3723684919
2014.0,OK       ,8.23210790229
2008.0,OR         ,8.06018269747
2009.0,OR         ,8.04403048264
2010.0,OR         ,7.72150582363
2011.0,OR         ,7.37516005122
2012.0,OR         ,7.89331132148
2013.0,OR         ,7.57460220629
2014.0,OR         ,6.99105145414
2008.0,PA   ,6.31819416266
2009.0,PA   ,5.91211505518
2010.0,PA   ,6.01786254438
2011.0,PA   ,5.36559380525
2012.0,PA   ,6.01842852144
2013.0,PA   ,5.28111417488
2014.0,PA   ,5.45913858234
2008.0,RI   ,6.58023963858
2009.0,RI   ,7.66577232656
2010.0,RI   ,6.3882532418
2011.0,RI   ,7.21888014808
2012.0,RI   ,6.22966062297
2013.0,RI   ,6.49839894519
2014.0,RI   ,5.6465796538
2008.0,SC ,7.25248403123
2009.0,SC ,6.60461669246
2010.0,SC ,6.66310731447
2011.0,SC ,6.77686997277
2012.0,SC ,6.90689422102
2013.0,SC ,6.54591674611
2014.0,SC ,7.11555921539
2008.0,SD   ,5.71002979146
2009.0,SD   ,5.19323671498
2010.0,SD   ,6.92503948487
2011.0,SD   ,8.55513307985
2012.0,SD   ,6.20525059666
2013.0,SD   ,5.03432494279
2014.0,SD   ,4.75307210758
2008.0,TN      ,9.0571074459
2009.0,TN      ,8.47002307133
2010.0,TN      ,9.41569176993
2011.0,TN      ,9.02629261542
2012.0,TN      ,9.08581741241
2013.0,TN      ,8.59581261129
2014.0,TN      ,8.3595203954
2008.0,TX          ,8.4368008471
2009.0,TX          ,8.02766249407
2010.0,TX          ,8.1533652093
2011.0,TX          ,8.11286328685
2012.0,TX          ,7.88264333447
2013.0,TX          ,7.60649687104
2014.0,TX          ,7.27000231479
2008.0,UT,7.72215175707
2009.0,UT,6.63587036222
2010.0,UT,8.82165379437
2011.0,UT,6.95470433498
2012.0,UT,7.80169509557
2013.0,UT,6.11040149135
2014.0,UT,6.6629456499
2008.0,VA       ,8.01880798068
2009.0,VA       ,7.52406172022
2010.0,VA       ,7.65213013656
2011.0,VA       ,7.44791986726
2012.0,VA       ,6.95450594031
2013.0,VA       ,6.91199845865
2014.0,VA       ,6.30748384157
2008.0,VT        ,8.83775220944
2009.0,VT        ,8.29538061158
2010.0,VT        ,6.58204043253
2011.0,VT        ,6.9612590799
2012.0,VT        ,6.40927819319
2013.0,VT        ,5.00939261115
2014.0,VT        ,5.80847723705
2008.0,WA     ,8.54923072217
2009.0,WA     ,7.72508922252
2010.0,WA     ,7.6423102036
2011.0,WA     ,8.62933975517
2012.0,WA     ,7.44578000317
2013.0,WA     ,6.98346098027
2014.0,WA     ,6.69971671388
2008.0,WI      ,6.09923716583
2009.0,WI      ,6.16437196227
2010.0,WI      ,6.03580210823
2011.0,WI      ,5.7031342003
2012.0,WI      ,6.15552971753
2013.0,WI      ,5.70394152606
2014.0,WI      ,5.34594954653
2008.0,WV  ,8.46519862786
2009.0,WV  ,8.49175478004
2010.0,WV  ,8.45503458878
2011.0,WV  ,8.98448135039
2012.0,WV  ,9.29469655549
2013.0,WV  ,7.88263630392
2014.0,WV  ,9.22266139657
2008.0,WY        ,9.07441016334
2009.0,WY        ,8.84795955218
2010.0,WY        ,9.18079096045
2011.0,WY        ,8.62366333218
2012.0,WY        ,9.61538461538
2013.0,WY        ,7.54975978037
2014.0,WY        ,6.35738831615
